,Date,Price(USD),Currency
119,2013-08-26,0.04000000000000625,bitcoin
120,2013-08-27,3.6299999999999955,bitcoin
121,2013-08-28,-2.6500000000000057,bitcoin
122,2013-08-29,0.4200000000000017,bitcoin
123,2013-08-30,5.759999999999991,bitcoin
124,2013-08-31,8.560000000000002,bitcoin
125,2013-09-01,0.4099999999999966,bitcoin
126,2013-09-02,-1.0,bitcoin
127,2013-09-03,0.3400000000000034,bitcoin
128,2013-09-04,-2.299999999999983,bitcoin
129,2013-09-05,-5.25,bitcoin
130,2013-09-06,-3.8300000000000125,bitcoin
131,2013-09-07,-2.3999999999999915,bitcoin
132,2013-09-08,-1.960000000000008,bitcoin
133,2013-09-09,4.63000000000001,bitcoin
134,2013-09-10,1.3799999999999955,bitcoin
135,2013-09-11,3.8700000000000045,bitcoin
136,2013-09-12,2.569999999999993,bitcoin
137,2013-09-13,0.8300000000000125,bitcoin
138,2013-09-14,-3.660000000000025,bitcoin
139,2013-09-15,-1.4399999999999977,bitcoin
140,2013-09-16,1.5300000000000011,bitcoin
141,2013-09-17,-0.1699999999999875,bitcoin
142,2013-09-18,0.75,bitcoin
143,2013-09-19,-1.8300000000000125,bitcoin
144,2013-09-20,-1.6599999999999966,bitcoin
145,2013-09-21,-1.789999999999992,bitcoin
146,2013-09-22,1.5900000000000034,bitcoin
147,2013-09-23,-1.6400000000000006,bitcoin
148,2013-09-24,-0.6400000000000006,bitcoin
149,2013-09-25,1.8999999999999915,bitcoin
150,2013-09-26,0.030000000000015348,bitcoin
151,2013-09-27,3.819999999999993,bitcoin
152,2013-09-28,2.0900000000000034,bitcoin
153,2013-09-29,6.349999999999994,bitcoin
154,2013-09-30,-8.629999999999995,bitcoin
155,2013-10-01,0.9000000000000057,bitcoin
156,2013-10-02,-0.5100000000000193,bitcoin
157,2013-10-03,-8.969999999999999,bitcoin
158,2013-10-04,5.189999999999998,bitcoin
159,2013-10-05,1.3100000000000023,bitcoin
160,2013-10-06,-2.009999999999991,bitcoin
161,2013-10-07,0.8199999999999932,bitcoin
162,2013-10-08,-2.6599999999999966,bitcoin
163,2013-10-09,5.180000000000007,bitcoin
164,2013-10-10,-1.2199999999999989,bitcoin
165,2013-10-11,0.5900000000000034,bitcoin
166,2013-10-12,5.079999999999984,bitcoin
167,2013-10-13,0.12999999999999545,bitcoin
168,2013-10-14,5.0,bitcoin
169,2013-10-15,3.4099999999999966,bitcoin
170,2013-10-16,-0.2799999999999727,bitcoin
171,2013-10-17,2.539999999999992,bitcoin
172,2013-10-18,5.189999999999998,bitcoin
173,2013-10-19,19.169999999999987,bitcoin
174,2013-10-20,1.5,bitcoin
175,2013-10-21,9.400000000000006,bitcoin
176,2013-10-22,12.039999999999992,bitcoin
177,2013-10-23,13.330000000000013,bitcoin
178,2013-10-24,-7.97999999999999,bitcoin
179,2013-10-25,-26.32000000000002,bitcoin
180,2013-10-26,6.480000000000018,bitcoin
181,2013-10-27,10.870000000000005,bitcoin
182,2013-10-28,8.719999999999999,bitcoin
183,2013-10-29,5.839999999999975,bitcoin
184,2013-10-30,-0.18999999999999773,bitcoin
185,2013-10-31,-0.3199999999999932,bitcoin
186,2013-11-01,1.3799999999999955,bitcoin
187,2013-11-02,1.6299999999999955,bitcoin
188,2013-11-03,5.560000000000002,bitcoin
189,2013-11-04,13.830000000000013,bitcoin
190,2013-11-05,4.349999999999994,bitcoin
191,2013-11-06,30.220000000000027,bitcoin
192,2013-11-07,34.77999999999997,bitcoin
193,2013-11-08,36.389999999999986,bitcoin
194,2013-11-09,25.980000000000018,bitcoin
195,2013-11-10,-45.0,bitcoin
196,2013-11-11,27.55000000000001,bitcoin
197,2013-11-12,14.930000000000007,bitcoin
198,2013-11-13,48.69,bitcoin
199,2013-11-14,4.669999999999959,bitcoin
200,2013-11-15,15.32000000000005,bitcoin
201,2013-11-16,13.25,bitcoin
202,2013-11-17,50.94999999999999,bitcoin
203,2013-11-18,92.50999999999999,bitcoin
204,2013-11-19,33.52999999999997,bitcoin
205,2013-11-20,-49.059999999999945,bitcoin
206,2013-11-21,109.71999999999991,bitcoin
207,2013-11-22,56.09000000000003,bitcoin
208,2013-11-23,88.15999999999997,bitcoin
209,2013-11-24,-54.879999999999995,bitcoin
210,2013-11-25,28.6400000000001,bitcoin
211,2013-11-26,39.8599999999999,bitcoin
212,2013-11-27,81.20000000000005,bitcoin
213,2013-11-28,64.95000000000005,bitcoin
214,2013-11-29,122.74999999999989,bitcoin
215,2013-11-30,25.62000000000012,bitcoin
216,2013-12-01,-94.05999999999995,bitcoin
217,2013-12-02,-59.36000000000013,bitcoin
218,2013-12-03,104.61000000000013,bitcoin
219,2013-12-04,42.83999999999992,bitcoin
220,2013-12-05,-132.44000000000005,bitcoin
221,2013-12-06,30.620000000000005,bitcoin
222,2013-12-07,-207.67999999999995,bitcoin
223,2013-12-08,-68.87,bitcoin
224,2013-12-09,154.77999999999997,bitcoin
225,2013-12-10,29.889999999999986,bitcoin
226,2013-12-11,-40.69999999999993,bitcoin
227,2013-12-12,-8.910000000000082,bitcoin
228,2013-12-13,19.100000000000023,bitcoin
229,2013-12-14,-30.279999999999973,bitcoin
230,2013-12-15,-12.370000000000005,bitcoin
231,2013-12-16,-65.47000000000003,bitcoin
232,2013-12-17,-97.5,bitcoin
233,2013-12-18,-132.28999999999996,bitcoin
234,2013-12-19,118.48000000000002,bitcoin
235,2013-12-20,16.409999999999968,bitcoin
236,2013-12-21,-98.13,bitcoin
237,2013-12-22,54.14999999999998,bitcoin
238,2013-12-23,-4.519999999999982,bitcoin
239,2013-12-24,14.190000000000055,bitcoin
240,2013-12-25,8.799999999999955,bitcoin
241,2013-12-26,65.85000000000002,bitcoin
242,2013-12-27,-0.32000000000005,bitcoin
243,2013-12-28,4.539999999999964,bitcoin
244,2013-12-29,-12.339999999999918,bitcoin
245,2013-12-30,34.049999999999955,bitcoin
246,2013-12-31,-5.360000000000014,bitcoin
247,2014-01-01,12.580000000000041,bitcoin
248,2014-01-02,4.789999999999964,bitcoin
249,2014-01-03,52.940000000000055,bitcoin
250,2014-01-04,23.66999999999996,bitcoin
251,2014-01-05,70.26999999999998,bitcoin
252,2014-01-06,16.970000000000027,bitcoin
253,2014-01-07,-109.88,bitcoin
254,2014-01-08,11.82000000000005,bitcoin
255,2014-01-09,14.969999999999914,bitcoin
256,2014-01-10,10.009999999999991,bitcoin
257,2014-01-11,42.42000000000007,bitcoin
258,2014-01-12,-38.26999999999998,bitcoin
259,2014-01-13,-26.49000000000001,bitcoin
260,2014-01-14,-2.910000000000082,bitcoin
261,2014-01-15,22.3900000000001,bitcoin
262,2014-01-16,-22.460000000000036,bitcoin
263,2014-01-17,-25.08000000000004,bitcoin
264,2014-01-18,27.100000000000023,bitcoin
265,2014-01-19,-1.830000000000041,bitcoin
266,2014-01-20,30.980000000000018,bitcoin
267,2014-01-21,0.42000000000007276,bitcoin
268,2014-01-22,-4.540000000000077,bitcoin
269,2014-01-23,-18.059999999999945,bitcoin
270,2014-01-24,-38.64999999999998,bitcoin
271,2014-01-25,-3.9300000000000637,bitcoin
272,2014-01-26,49.120000000000005,bitcoin
273,2014-01-27,38.35000000000002,bitcoin
274,2014-01-28,-114.86000000000001,bitcoin
275,2014-01-29,39.85000000000002,bitcoin
276,2014-01-30,0.31999999999993634,bitcoin
277,2014-01-31,0.7599999999999909,bitcoin
278,2014-02-01,14.590000000000032,bitcoin
279,2014-02-02,3.8899999999999864,bitcoin
280,2014-02-03,-23.029999999999973,bitcoin
281,2014-02-04,18.980000000000018,bitcoin
282,2014-02-05,-1.4400000000000546,bitcoin
283,2014-02-06,-25.839999999999918,bitcoin
284,2014-02-07,-83.75999999999999,bitcoin
285,2014-02-08,-19.710000000000036,bitcoin
286,2014-02-09,-29.539999999999964,bitcoin
287,2014-02-10,17.579999999999927,bitcoin
288,2014-02-11,8.110000000000014,bitcoin
289,2014-02-12,-42.5,bitcoin
290,2014-02-13,-3.3500000000000227,bitcoin
291,2014-02-14,-28.339999999999918,bitcoin
292,2014-02-15,20.529999999999973,bitcoin
293,2014-02-16,-30.25,bitcoin
294,2014-02-17,31.289999999999964,bitcoin
295,2014-02-18,-20.129999999999995,bitcoin
296,2014-02-19,-4.019999999999982,bitcoin
297,2014-02-20,-27.100000000000023,bitcoin
298,2014-02-21,-11.139999999999986,bitcoin
299,2014-02-22,-11.690000000000055,bitcoin
300,2014-02-23,51.91000000000008,bitcoin
301,2014-02-24,-50.58000000000004,bitcoin
302,2014-02-25,-83.07999999999998,bitcoin
303,2014-02-26,77.94,bitcoin
304,2014-02-27,19.029999999999973,bitcoin
305,2014-02-28,-19.079999999999927,bitcoin
306,2014-03-01,-7.090000000000032,bitcoin
307,2014-03-02,1.240000000000009,bitcoin
308,2014-03-03,24.43999999999994,bitcoin
309,2014-03-04,89.21000000000004,bitcoin
310,2014-03-05,-16.75999999999999,bitcoin
311,2014-03-06,-3.6900000000000546,bitcoin
312,2014-03-07,-36.92999999999995,bitcoin
313,2014-03-08,-7.25,bitcoin
314,2014-03-09,25.799999999999955,bitcoin
315,2014-03-10,-15.0,bitcoin
316,2014-03-11,3.060000000000059,bitcoin
317,2014-03-12,13.840000000000032,bitcoin
318,2014-03-13,0.9599999999999227,bitcoin
319,2014-03-14,-9.360000000000014,bitcoin
320,2014-03-15,8.400000000000091,bitcoin
321,2014-03-16,-8.520000000000095,bitcoin
322,2014-03-17,-5.844999999999914,bitcoin
323,2014-03-18,-11.083000000000084,bitcoin
324,2014-03-19,-1.98599999999999,bitcoin
325,2014-03-20,-18.565999999999917,bitcoin
326,2014-03-21,-9.767000000000053,bitcoin
327,2014-03-22,-21.08299999999997,bitcoin
328,2014-03-23,6.558999999999969,bitcoin
329,2014-03-24,3.63900000000001,bitcoin
330,2014-03-25,11.131999999999948,bitcoin
331,2014-03-26,1.8920000000000528,bitcoin
332,2014-03-27,-16.80200000000002,bitcoin
333,2014-03-28,-63.978999999999985,bitcoin
334,2014-03-29,-1.3589999999999804,bitcoin
335,2014-03-30,-32.36400000000003,bitcoin
336,2014-03-31,-12.538999999999987,bitcoin
337,2014-04-01,21.31729999999999,bitcoin
338,2014-04-02,-41.2013,bitcoin
339,2014-04-03,9.567200000000014,bitcoin
340,2014-04-04,1.7970000000000255,bitcoin
341,2014-04-05,15.946699999999964,bitcoin
342,2014-04-06,-4.123099999999965,bitcoin
343,2014-04-07,-2.9108000000000516,bitcoin
344,2014-04-08,-7.328199999999981,bitcoin
345,2014-04-09,-10.265499999999975,bitcoin
346,2014-04-10,-79.35759999999999,bitcoin
347,2014-04-11,59.215599999999995,bitcoin
348,2014-04-12,0.6037000000000035,bitcoin
349,2014-04-13,-5.710500000000025,bitcoin
350,2014-04-14,42.68430000000001,bitcoin
351,2014-04-15,62.489499999999964,bitcoin
352,2014-04-16,9.03920000000005,bitcoin
353,2014-04-17,-34.762500000000045,bitcoin
354,2014-04-18,-16.168799999999976,bitcoin
355,2014-04-19,23.320299999999975,bitcoin
356,2014-04-20,-4.233799999999974,bitcoin
357,2014-04-21,-4.644400000000019,bitcoin
358,2014-04-22,-7.819999999999993,bitcoin
359,2014-04-23,2.671699999999987,bitcoin
360,2014-04-24,6.748300000000029,bitcoin
361,2014-04-25,-35.46660000000003,bitcoin
362,2014-04-26,-5.006699999999967,bitcoin
363,2014-04-27,-15.8784,bitcoin
364,2014-04-28,-1.0015999999999963,bitcoin
365,2014-04-29,6.349999999999966,bitcoin
366,2014-04-30,1.7268000000000256,bitcoin
367,2014-05-01,10.094499999999982,bitcoin
368,2014-05-02,-11.617899999999963,bitcoin
369,2014-05-03,-9.44010000000003,bitcoin
370,2014-05-04,-0.09010000000000673,bitcoin
371,2014-05-05,-4.8670999999999935,bitcoin
372,2014-05-06,-2.3127000000000066,bitcoin
373,2014-05-07,12.536600000000021,bitcoin
374,2014-05-08,-1.9367000000000303,bitcoin
375,2014-05-09,10.129999999999995,bitcoin
376,2014-05-10,5.011700000000019,bitcoin
377,2014-05-11,-16.2217,bitcoin
378,2014-05-12,2.9067000000000007,bitcoin
379,2014-05-13,-1.884999999999991,bitcoin
380,2014-05-14,6.941699999999969,bitcoin
381,2014-05-15,0.0033000000000242835,bitcoin
382,2014-05-16,0.9150000000000205,bitcoin
383,2014-05-17,0.6882999999999697,bitcoin
384,2014-05-18,-1.6399999999999864,bitcoin
385,2014-05-19,-0.3432999999999993,bitcoin
386,2014-05-20,39.54669999999999,bitcoin
387,2014-05-21,5.355000000000018,bitcoin
388,2014-05-22,33.836599999999976,bitcoin
389,2014-05-23,1.866700000000037,bitcoin
390,2014-05-24,-1.366700000000037,bitcoin
391,2014-05-25,46.26840000000004,bitcoin
392,2014-05-26,10.245000000000005,bitcoin
393,2014-05-27,-10.14670000000001,bitcoin
394,2014-05-28,2.078300000000013,bitcoin
395,2014-05-29,-6.293300000000045,bitcoin
396,2014-05-30,55.88670000000002,bitcoin
397,2014-05-31,-0.6467000000000098,bitcoin
398,2014-06-01,19.661699999999996,bitcoin
399,2014-06-02,16.248299999999972,bitcoin
400,2014-06-03,10.958300000000008,bitcoin
401,2014-06-04,-26.184999999999945,bitcoin
402,2014-06-05,16.91669999999999,bitcoin
403,2014-06-06,-9.470000000000027,bitcoin
404,2014-06-07,3.078300000000013,bitcoin
405,2014-06-08,-1.8100000000000591,bitcoin
406,2014-06-09,-5.9932999999999765,bitcoin
407,2014-06-10,5.151700000000005,bitcoin
408,2014-06-11,-19.019999999999982,bitcoin
409,2014-06-12,-62.86170000000004,bitcoin
410,2014-06-13,27.508300000000077,bitcoin
411,2014-06-14,-24.680000000000064,bitcoin
412,2014-06-15,13.4067,bitcoin
413,2014-06-16,9.110000000000014,bitcoin
414,2014-06-17,14.638300000000072,bitcoin
415,2014-06-18,-2.9682999999999993,bitcoin
416,2014-06-19,-10.801699999999869,bitcoin
417,2014-06-20,-3.3333000000002357,bitcoin
418,2014-06-21,1.2017000000000735,bitcoin
419,2014-06-22,3.7799999999999727,bitcoin
420,2014-06-23,-8.88840000000016,bitcoin
421,2014-06-24,-3.7332999999999856,bitcoin
422,2014-06-25,-20.94329999999991,bitcoin
423,2014-06-26,18.11500000000001,bitcoin
424,2014-06-27,18.65000000000009,bitcoin
425,2014-06-28,-3.3649999999998954,bitcoin
426,2014-06-29,3.616599999999835,bitcoin
427,2014-06-30,39.2666999999999,bitcoin
428,2014-07-01,6.180000000000177,bitcoin
429,2014-07-02,4.172500000000127,bitcoin
430,2014-07-03,-7.823699999999917,bitcoin
431,2014-07-04,-13.155000000000314,bitcoin
432,2014-07-05,0.45249999999998636,bitcoin
433,2014-07-06,3.4212000000001126,bitcoin
434,2014-07-07,-11.507499999999823,bitcoin
435,2014-07-08,0.552499999999327,bitcoin
436,2014-07-09,0.11250000000040927,bitcoin
437,2014-07-10,-5.0324999999998,bitcoin
438,2014-07-11,15.707499999999982,bitcoin
